식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1회 섭취참고량,식품중량,품목제조보고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
P101-205000200-2401,망고맛 소프트 젤리,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01205,젤리,0100000,해당없음,010000002,캔디류,00,해당없음,100g,378,,0.00,0.00,,94.41,80.75,,,,,,99,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,10g,,24CN0AD00D5,"LINYI YINUO FOOD CO.,LTD",이멕스무역(주),해당없음,Y,156,중국,2,수집,2024-12-31,2026-04-29,1471000,식품의약품안전처
P120-600060000-1716,망고맛 열빙어알,P,가공식품,1,가공식품,20,수산가공식품류,20600,기타 수산가공품,2000006,기타 수산물가공품,200000600,해당없음,00,해당없음,100g,202,,4.60,14.40,,13.50,4.50,,,,,,417,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,,300g,24CN34U00D1,"YANTAI LUXING AQUATIC PRODUCTS CO.,LTD",한진푸드,해당없음,Y,156,중국,2,수집,2024-06-28,2026-04-29,1471000,식품의약품안전처
P109-802080200-2332,망고맛 음료분말,P,가공식품,1,가공식품,09,음료류,09802,농축음료/베이스,0900008,기타음료,090000802,음료베이스,00,해당없음,100g,499,,4.70,26.60,,60.30,0.00,,,,,,212,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,150ml,1000g,23CNFDV00D7,SHANDONG YOULEZI BIOTECHNOLOGY CO. LTD..,청림무역주식회사,해당없음,Y,156,중국,2,수집,2023-12-19,2026-04-29,1471000,식품의약품안전처
P101-205000200-2402,망고맛 젤리,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01205,젤리,0100000,해당없음,010000002,캔디류,00,해당없음,100g,357,,1.20,0.00,,88.00,87.00,,,,,,280,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,10g,100g,23CN17Y00D5,"LABI XIAOXIN(FUJIAN) FOODS INDUSTRIAL CO.,LTD",주식회사 천우물산실업,해당없음,Y,156,중국,2,수집,2023-08-04,2026-04-29,1471000,식품의약품안전처
P101-205000200-2405,망고맛 젤리,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01205,젤리,0100000,해당없음,010000002,캔디류,00,해당없음,100g,373,,0.50,0.60,,91.30,65.00,,,,,,20,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,10g,,24CN0KE00D2,"SHANTOU CHENGHAI WEIWEI FOOD CO.,LTD",케이지,해당없음,Y,156,중국,2,수집,2024-12-31,2026-04-29,1471000,식품의약품안전처
P101-205000200-3581,망고맛 젤리,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01205,젤리,0100000,해당없음,010000002,캔디류,00,해당없음,100g,338,,6.90,0.00,,79.30,41.20,,,,,,110,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,10g,170g,24CN4QN00D1,"GUANGDONG AMRIT FOOD CO., LTD",성희무역(주),해당없음,Y,156,중국,2,수집,2024-12-23,2026-04-29,1471000,식품의약품안전처
P101-205000200-4503,망고맛 젤리,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01205,젤리,0100000,해당없음,010000002,캔디류,00,해당없음,100g,375,,0.00,0.00,,93.40,93.00,,,,,,237,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,10g,450g,23CN47P00D7,FUJIAN HENGXIANG FOOD,동방유통,해당없음,Y,156,중국,2,수집,2025-11-20,2026-04-29,1471000,식품의약품안전처
P101-205000200-2404,망고맛 젤리,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01205,젤리,0100000,해당없음,010000002,캔디류,00,해당없음,100g,375,,0.00,0.00,,93.70,43.00,,,,,,233,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,10g,,23CN4M400D3,"QUANZHOU LIANGYOU FOOD CO.,LTD",면화무역,해당없음,Y,156,중국,2,수집,2023-12-31,2026-04-29,1471000,식품의약품안전처
P101-205000200-2403,망고맛 젤리,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01205,젤리,0100000,해당없음,010000002,캔디류,00,해당없음,100g,371,,0.00,0.60,,91.30,62.00,,,,,,99,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,10g,,23CN15X00D6,"SHANTOU YANGYU FOODSTUFF CO., LTD",대영식품주식회사,해당없음,Y,156,중국,2,수집,2023-12-31,2026-04-29,1471000,식품의약품안전처
P101-205000200-2406,망고맛 젤리,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01205,젤리,0100000,해당없음,010000002,캔디류,00,해당없음,100g,392,,0.00,0.00,,98.00,26.00,,,,,,0,,,,,,,,,0.00,0.00,0.00,3,식품의약품안전처,10g,,23CN7VN00D4,"HARBIN CHAOYUE FOOD CO.,LTD",(주)한진식품,해당없음,Y,156,중국,2,수집,2023-12-31,2026-04-29,1471000,식품의약품안전처
